date,aiae,eq,debt
2023-01-01,0.45633914910978896,58684.86,69914.363
2023-04-01,0.4694821228078844,62830.054,70998.37299999999
2023-07-01,0.45684099151485075,60625.96,72080.95800000001
2023-10-01,0.4788148491622923,67186.15000000001,73131.449
2024-01-01,0.49827015797016744,73475.924,73986.096
2024-04-01,0.5019081437714183,75378.661,74805.515
2024-07-01,0.5127452213500735,80068.875,76088.35800000001
2024-10-01,0.5173220073532762,82185.191,76681.41399999999
2025-01-01,0.5040716725613862,79061.495,77784.24600000001
2025-04-01,0.5236521686361703,86481.418,78669.08300000001
2025-07-01,0.5362300821487693,93128.405,80544.06899999999
2025-10-01,0.5395207313821029,95643.71299999999,81631.61200000001
2026-01-01,0.5286035913728411,93038.05600000001,82969.178
2026-04-01,0.5640600697124325,109244.69499999999,84430.94500000002
